Point, Voltage_V
1, 2.507317
2, 2.507239
3, 2.507243
4, 2.507190
5, 2.507287
6, 2.507209
7, 2.507253
8, 2.507278
9, 2.507209
10, 2.507302
11, 2.507151
12, 2.507258
13, 2.507224
14, 2.507341
15, 2.507229
16, 2.507219
17, 2.507204
18, 2.507180
19, 2.507258
20, 2.507263
21, 2.507278
22, 2.507243
23, 2.507190
24, 2.507248
25, 2.507268
26, 2.507209
27, 2.507229
28, 2.507248
29, 2.507190
30, 2.507273
31, 2.507209
32, 2.507278
33, 2.507194
34, 2.507287
35, 2.507209
36, 2.507297
37, 2.507268
38, 2.507258
39, 2.507297
40, 2.507234
41, 2.507263
42, 2.507214
43, 2.507258
44, 2.507263
45, 2.507273
46, 2.507248
47, 2.507224
48, 2.507219
49, 2.507234
50, 2.507253
51, 2.507234
52, 2.507268
53, 2.507190
54, 2.507248
55, 2.507278
56, 2.507253
57, 2.507273
58, 2.507219
59, 2.507229
60, 2.507287
61, 2.507278
62, 2.507258
63, 2.507243
64, 2.507317
65, 2.507239
66, 2.507224
67, 2.507258
68, 2.507175
69, 2.507302
70, 2.507268
71, 2.507248
72, 2.507200
73, 2.507263
74, 2.507282
75, 2.507322
76, 2.507229
77, 2.507263
78, 2.507243
79, 2.507224
80, 2.507214
81, 2.507273
82, 2.507248
83, 2.507243
84, 2.507234
85, 2.507263
86, 2.507253
87, 2.507234
88, 2.507273
89, 2.507204
90, 2.507229
91, 2.507224
92, 2.507209
93, 2.507243
94, 2.507214
95, 2.507229
96, 2.507239
97, 2.507263
98, 2.507282
99, 2.507273
100, 2.507214
